q_seqid	taxonomy
smORF_00	d__Bacteria
smORF_01	d__Bacteria
smORF_02	d__Bacteria
smORF_03	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__CG51;s__CG51 sp005877885
smORF_04	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__CG51;s__CG51 sp005877885
smORF_05	d__Bacteria
smORF_06	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae
smORF_07	d__Bacteria
smORF_08	d__Bacteria
smORF_09	d__Bacteria
smORF_10	d__Bacteria
smORF_11	d__Bacteria
smORF_12	d__Bacteria
smORF_13	d__Bacteria
smORF_14	d__Bacteria;p__Firmicutes
smORF_15	d__Bacteria
smORF_16	d__Bacteria
smORF_17	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium sp004104355
smORF_18	d__Bacteria
smORF_19	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium yanglingense
smORF_20	d__Bacteria
smORF_21	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales
smORF_22	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales
smORF_23	d__Bacteria
smORF_24	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales
smORF_25	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__JC017;s__JC017 sp004296775
smORF_26	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__CG51;s__CG51 sp005877885
smORF_27	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__CG51;s__CG51 sp005877885
smORF_28	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__CG51;s__CG51 sp005877885
